لینک,عنوان,قیمت,مکان
https://divar.ir/v/کتابخوان_آمازون_کیندل_تاچ_۴_گیگ/wYqvYuhm,کتابخوان آمازون کیندل تاچ ۴ گیگ,"۲,۵۰۰,۰۰۰ تومان", همدان
https://divar.ir/v/کتابخوان_نوت_ایر_۲_پلاس_Onyx_Boox_Note_Air_2_Plus/wYQ_B-io,کتابخوان نوت ایر ۲ پلاس Onyx Boox Note Air 2 Plus,"۲۷,۰۰۰,۰۰۰ تومان", تهران
https://divar.ir/v/تبلت/کتابخوان_بلک_بری/wYlriD6a,تبلت/کتابخوان بلک بری,"۳,۰۰۰,۰۰۰ تومان", مشهد
https://divar.ir/v/کتابخوان_انیکس_بوکس_۴/wYLjdXTY,کتابخوان انیکس بوکس ۴,"۷,۵۰۰,۰۰۰ تومان", تهران
https://divar.ir/v/کتابخوان_کتاب_خوان/wYrzxUNT,کتابخوان کتاب خوان,"۵,۰۰۰,۰۰۰ تومان", تهران
https://divar.ir/v/کتابخوان_کیندل_نسل_10/wYmTGNaE,کتابخوان کیندل نسل 10,"۴,۷۰۰,۰۰۰ تومان", تهران
https://divar.ir/v/کتابخوان_boox__مدل_نوا_پرو/wYc3bJG4,کتابخوان boox  مدل نوا پرو,"۱۰,۰۰۰,۰۰۰ تومان", تهران
https://divar.ir/v/کتابخوان_کیندل_آمازون/wYnX0OaC,کتابخوان کیندل آمازون,"۱,۷۰۰,۰۰۰ تومان", تهران
https://divar.ir/v/کتابخوان_کیندل_امازون/wYpDA9gY,کتابخوان کیندل امازون,"۲,۰۰۰,۰۰۰ تومان", قم
https://divar.ir/v/کتابخوان_mi_reader/wYOPtvNV,کتابخوان mi reader,"۴,۳۵۰,۰۰۰ تومان", شیراز
https://divar.ir/v/کتابخوان_فیدیبوک_مدل_F1/wYUncXh2,کتابخوان فیدیبوک مدل F1,"۲,۱۰۰,۰۰۰ تومان", بیرجند
https://divar.ir/v/کتابخوان_kindle_با_جلد_محافظ/wYUHxJdH,کتابخوان kindle با جلد محافظ,"۲,۷۰۰,۰۰۰ تومان", تهران
https://divar.ir/v/کتابخوان/wYQPNlpX,کتابخوان,"۲,۰۰۰,۰۰۰ تومان", ابهر
https://divar.ir/v/کتابخوان_جدید_meebook_p78_pro_سیم_کارت_خور/wYeCx3lC,کتابخوان جدید meebook p78 pro سیم کارت خور,"۱۳,۸۰۰,۰۰۰ تومان", تهران
https://divar.ir/v/کتابخوان_الکترونیک_poke4_lite_اونیکس_بوکس/wYyONUGY,کتابخوان الکترونیک poke4 lite اونیکس بوکس,"۷,۹۵۰,۰۰۰ تومان", تهران
https://divar.ir/v/کتابخوان_اونیکس_بوکس_نوا_پرو/wYM3VQ9q,کتابخوان اونیکس بوکس نوا پرو,"۱۳,۰۰۰,۰۰۰ تومان", کرج
https://divar.ir/v/کتابخوان_فیدیبوک/wYMX0Asg,کتابخوان فیدیبوک,"۳,۲۰۰,۰۰۰ تومان", زنجان
https://divar.ir/v/کتابخوان_انیکس_بوکس_۴/wYLjdXTY,کتابخوان انیکس بوکس ۴,"۸,۵۰۰,۰۰۰ تومان", تهران
https://divar.ir/v/کتابخوان_کیندل_Paperwhite_آمازون_ضد_آب_8GB/wYK7KGD3,کتابخوان کیندل Paperwhite آمازون ضد آب 8GB,"۴,۵۹۰,۰۰۰ تومان", تبریز
https://divar.ir/v/کتابخوان/wYIL2AZq,کتابخوان,"۲,۹۰۰,۰۰۰ تومان", تهران
https://divar.ir/v/کتابخوان_فیدیبو/wYInjFvn,کتابخوان فیدیبو,"۲,۵۰۰,۰۰۰ تومان", مشهد
https://divar.ir/v/کتابخوان_فیدیبوک_در_حد/wYHTfPFO,کتابخوان فیدیبوک در حد,"۳,۸۰۰,۰۰۰ تومان", تهران
https://divar.ir/v/کتاب_خوان_/_کتابخوان_فیدیبوک_مدل_Hannah_F1_WiFi/wYHLUo9F,کتاب خوان / کتابخوان فیدیبوک مدل Hannah F1 WiFi,"۲,۹۹۹,۰۰۰ تومان", تهران
https://divar.ir/v/کتابخوان_آمازون_با_ظرفیت_۸_گیگ/wYGrqt-g,کتابخوان آمازون با ظرفیت ۸ گیگ,"۲,۳۰۰,۰۰۰ تومان", همدان
https://divar.ir/v/کتابخوان_فیدیبو_اف_۱/wYGTZI2K,کتابخوان فیدیبو اف ۱,"۴,۲۰۰,۰۰۰ تومان", تهران
https://divar.ir/v/کتابخوان_آمازون_کیندل_۳۲_گیگ_نسل_۱۰_ضدآب/wYELQdfX,کتابخوان آمازون کیندل ۳۲ گیگ نسل ۱۰ ضدآب,"۵,۳۰۰,۰۰۰ تومان", قم
https://divar.ir/v/کتابخوان_کیندل_وویج/wYCHn5bh,کتابخوان کیندل وویج,"۳,۵۰۰,۰۰۰ تومان", تهران
https://divar.ir/v/کتاب_خوان_/_کتابخوان_می_بوک_مدل_P6_کاملا_نو/wYCfbhtp,کتاب خوان / کتابخوان می بوک مدل P6 کاملا نو,"۵,۸۰۰,۰۰۰ تومان", تهران
https://divar.ir/v/کتابخوان_آمازون_مدل_kindle_10th_generation/wYBf6tD_,کتابخوان آمازون مدل kindle 10th generation,"۳,۴۸۰,۰۰۰ تومان", سلمان‌شهر
https://divar.ir/v/کتابخوان_فیدیبوک_fidibook/wYV_FnQ9,کتابخوان فیدیبوک fidibook,"۲,۸۰۰,۰۰۰ تومان", میانه
https://divar.ir/v/کتابخوان_kindle_با_جلد_محافظ/wYUHxJdH,کتابخوان kindle با جلد محافظ,"۳,۵۵۰,۰۰۰ تومان", تهران
https://divar.ir/v/کتابخوان_(کیندل)_الکترونیک_فیدیبوک_F1/wYSPnfIq,کتابخوان (کیندل) الکترونیک فیدیبوک F1,"۱,۹۷۰,۰۰۰ تومان", تبریز
https://divar.ir/v/کتابخوان_الکترونیک_فیدیبوک/wYPX8OzM,کتابخوان الکترونیک فیدیبوک,"۱,۹۵۰,۰۰۰ تومان", مرند
https://divar.ir/v/کتابخوان_فیدیبوک_f1/wYQDMFev,کتابخوان فیدیبوک f1,"۲,۵۰۰,۰۰۰ تومان", تهران
https://divar.ir/v/کتابخوان_آمازون_نسل_دهم/wYM_OD0b,کتابخوان آمازون نسل دهم,"۵,۴۵۰,۰۰۰ تومان", تهران
https://divar.ir/v/کتابخوان انیکس بوکس ۴/wYLjdXTY,کتابخوان انیکس بوکس ۴,"۹,۲۰۰,۰۰۰ تومان", تهران
https://divar.ir/v/فیدیبوک کتابخوان دیجیتال fidibook/wYGXLOd0,فیدیبوک کتابخوان دیجیتال fidibook,"۳,۰۰۰,۰۰۰ تومان", تبریز
https://divar.ir/v/کتابخوان کیندل kindle/wYGLjvk9,کتابخوان کیندل kindle,"۱,۵۰۰,۰۰۰ تومان", پرند
https://divar.ir/v/کتابخوان آمازون کیندل ۳۲ گیگ نسل ۱۰ ضدآب/wYELQdfX,کتابخوان آمازون کیندل ۳۲ گیگ نسل ۱۰ ضدآب,"۵,۳۰۰,۰۰۰ تومان", قم
https://divar.ir/v/کتابخوان کیندل وویج/wYCHn5bh,کتابخوان کیندل وویج,"۳,۵۰۰,۰۰۰ تومان", تهران
https://divar.ir/v/آپارتمان 200 متر فول/wYLTgowB,آپارتمان 200 متر فول,"۱۰,۰۰۰,۰۰۰,۰۰۰ تومان", محله هنرستان
https://divar.ir/v/زمین ۶۲۰متر ملکی دو ممر/wYK3_bWf,زمین ۶۲۰متر ملکی دو ممر,"۱۵۰,۰۰۰,۰۰۰ تومان", خواجه ربیع
https://divar.ir/v/۴۰ قطعه (۲۵۰ ) با هم سند رسمی گلبهار/wYKv_TJW,۴۰ قطعه (۲۵۰ ) با هم سند رسمی گلبهار,توافقی, الهیه
https://divar.ir/v/اپارتمان 65متری شیک/wYLzR-zY,اپارتمان 65متری شیک,"۶۱۵,۰۰۰,۰۰۰ تومان", قاسم‌آباد (شهرک غرب)
https://divar.ir/v/زمین منزل آباد/wYKjPqTa,زمین منزل آباد,توافقی, امیریه
https://divar.ir/v/آپارتمان 78متری تک واحدی شیک./wYLjRpD_,آپارتمان 78متری تک واحدی شیک.,"۱,۲۰۰,۰۰۰,۰۰۰ تومان", محله طلاب
https://divar.ir/v/آپارتمان ۷۵ متری فروش/wYLrRoQh,آپارتمان ۷۵ متری فروش,"۷۵۰,۰۰۰,۰۰۰ تومان", محمدآباد
https://divar.ir/v/۷۵‌متر‌منزل‌ویلایی/wYLDAo5R,۷۵‌متر‌منزل‌ویلایی,"۶۸۰,۰۰۰,۰۰۰ تومان", شهرک شهید رجایی
https://divar.ir/v/چهار طبقه واسه فروش.آپارتمان طبقه اول 110متر بنا/wY4OwGxN,چهار طبقه واسه فروش.آپارتمان طبقه اول 110متر بنا,"۱,۸۰۰,۰۰۰,۰۰۰ تومان", شیرودی
https://divar.ir/v/6 طبقه 6 واحد تک واحدی / دربست / فروش یکجا /  صفر/wYKLf24K,6 طبقه 6 واحد تک واحدی / دربست / فروش یکجا /  صفر,"۴,۰۰۰,۰۰۰,۰۰۰ تومان", الهیه
https://divar.ir/v/زمین گلبهار عمده جزیی کلی مستقیم از مالک اصلی/wYK_fhIl,زمین گلبهار عمده جزیی کلی مستقیم از مالک اصلی,"۱۰,۰۰۰,۰۰۰ تومان", الهیه
https://divar.ir/v/چهار طبقه واسه فروش.۱۱۵ متر بنا طبقه همکف/wY2-IyFJ,چهار طبقه واسه فروش.۱۱۵ متر بنا طبقه همکف,"۱,۶۰۰,۰۰۰,۰۰۰ تومان", شیرودی
https://divar.ir/v/1660مترزمین حاشیه جاده جدیده خادم آباد/wYKffdgy,1660مترزمین حاشیه جاده جدیده خادم آباد,"۶۰۰,۰۰۰,۰۰۰ تومان", شهرک شهید رجایی
https://divar.ir/v/زمین اراضی سوران فرهنگیان سند شش دانگ ملکی/wYoSVOQF,زمین اراضی سوران فرهنگیان سند شش دانگ ملکی,"۴۵۰,۰۰۰,۰۰۰ تومان", وکیل‌آباد
https://divar.ir/v/آپارتمان 100متری تمیز/wYLjROKh,آپارتمان 100متری تمیز,"۱,۳۰۰,۰۰۰,۰۰۰ تومان", طبرسی شمالی
https://divar.ir/v/۱۳۵متر با حیاط،۱۰۰متر بنا (زیر زمین و همکف)/wYGzk75j,۱۳۵متر با حیاط،۱۰۰متر بنا (زیر زمین و همکف),"۳,۵۰۰,۰۰۰,۰۰۰ تومان", آبکوه
https://divar.ir/v/۱۰۵متری آپارتمان نوساز درالهیه ۹/wYKHP6im,۱۰۵متری آپارتمان نوساز درالهیه ۹,"۲,۷۳۰,۰۰۰,۰۰۰ تومان", الهیه
https://divar.ir/v/منزل ویلایی شهرک بهار/wYK3vu2E,منزل ویلایی شهرک بهار,"۱,۰۵۰,۰۰۰,۰۰۰ تومان", کشاورز
https://divar.ir/v/زمین شهرک بهار خین عرب۴۰۰ متری/wYLbxh6E,زمین شهرک بهار خین عرب۴۰۰ متری,"۲۸۰,۰۰۰,۰۰۰ تومان", کشاورز
https://divar.ir/v/زمین ملک آباد واقع در کلاته شور/wYK_vWop,زمین ملک آباد واقع در کلاته شور,"۱۸۰,۰۰۰,۰۰۰ تومان", احمدآباد
https://divar.ir/v/۵۰۰ متر فروشی گلبهار سند دار ملکی/wYKvPzx1,۵۰۰ متر فروشی گلبهار سند دار ملکی,توافقی, طبرسی شمالی
https://divar.ir/v/چناران مشهد دوازده هزار وپانصد متر/wYKP-oYE,چناران مشهد دوازده هزار وپانصد متر,"۷۵۰,۰۰۰,۰۰۰ تومان", چهنو
https://divar.ir/v/۳۰۰مترزمین مسکونی درشهرزاوین کلات نادر/wYLXBVTv,۳۰۰مترزمین مسکونی درشهرزاوین کلات نادر,"۴۷۰,۰۰۰,۰۰۰ تومان", آیت الله عبادی
https://divar.ir/v/۱۷۵متر/بلوارسجاد/آپارتمان صفر *فول مشاعات*/wYLXhPSg,۱۷۵متر/بلوارسجاد/آپارتمان صفر *فول مشاعات*,"۱۳,۰۰۰,۰۰۰,۰۰۰ تومان", بلوار سجاد
https://divar.ir/v/اپارتمان 65متری شیک/wYLzR-zY,اپارتمان 65متری شیک,"۶۱۰,۰۰۰,۰۰۰ تومان", قاسم‌آباد (شهرک غرب)
https://divar.ir/v/چهار طبقه واسه فروش.آپارتمان طبقه اول 110متر بنا/wY4OwGxN,چهار طبقه واسه فروش.آپارتمان طبقه اول 110متر بنا,"۱,۸۵۰,۰۰۰,۰۰۰ تومان", شیرودی
https://divar.ir/v/ویلایی نقلی منزل اباد/wYLTh1vB,ویلایی نقلی منزل اباد,"۶۸۰,۰۰۰,۰۰۰ تومان", الهیه
https://divar.ir/v/زمین گلبهار دست اول با سند تک برگ/wYK3vC8l,زمین گلبهار دست اول با سند تک برگ,"۲,۵۰۰,۰۰۰ تومان", الهیه
https://divar.ir/v/منزل ویلایی دارای ۳ واحد مجزا/wYLPh0tX,منزل ویلایی دارای ۳ واحد مجزا,"۱۹,۰۰۰,۰۰۰,۰۰۰ تومان", امام رضا
https://divar.ir/v/سجاد ۳۱۰متر ۵خواب پلان مهندسی/wYKz_82y,سجاد ۳۱۰متر ۵خواب پلان مهندسی,"۱۷,۰۰۰,۰۰۰,۰۰۰ تومان", بلوار سجاد
https://divar.ir/v/باغ ویلا/wYLPRtjS,باغ ویلا,"۶,۵۰۰,۰۰۰,۰۰۰ تومان", بلوار توس
https://divar.ir/v/زمین فروشی درالهیه( زمینهای فرمانداری دادگستری)/wYJLmnEi,زمین فروشی درالهیه( زمینهای فرمانداری دادگستری),"۳۷۰,۰۰۰,۰۰۰ تومان", الهیه
https://divar.ir/v/آپارتمان فروشی/wYi-cvn0,آپارتمان فروشی,"۷۵۰,۰۰۰,۰۰۰ تومان", طبرسی شمالی
https://divar.ir/v/زمین فروشی حاشیه الهیه/wYBDrwvo,زمین فروشی حاشیه الهیه,"۵۰۰,۰۰۰,۰۰۰ تومان", الهیه
https://divar.ir/v/۶۰متر حاشیه دوکله سنددار فول شیک روبه پارک/wYJvBRvN,۶۰متر حاشیه دوکله سنددار فول شیک روبه پارک,"۱,۱۰۰,۰۰۰,۰۰۰ تومان", الهیه
https://divar.ir/v/زمین ((جلدک فرمانیه پلاک ۲۶))/wYKzt2BK,زمین ((جلدک فرمانیه پلاک ۲۶)),"۱۰,۲۰۰,۰۰۰,۰۰۰ تومان", الهیه
https://divar.ir/v/تمیز و بازسازی شده/wYKzfXxO,تمیز و بازسازی شده,"۱,۸۶۰,۰۰۰,۰۰۰ تومان", هفت تیر
https://divar.ir/v/واحد جنوبی زیبا شهر/wYLLxOur,واحد جنوبی زیبا شهر,"۵,۷۵۰,۰۰۰,۰۰۰ تومان", آزادشهر
https://divar.ir/v/آپارتمان دوخواب پارکینگ دار نزدیک بزرگراه/wYLLhIch,آپارتمان دوخواب پارکینگ دار نزدیک بزرگراه,"۸۵۰,۰۰۰,۰۰۰ تومان", کشاورز
https://divar.ir/v/زمین باغی سند ملکی داخل مجموعه/wY6WAUlI,زمین باغی سند ملکی داخل مجموعه,"۱۲۰,۰۰۰,۰۰۰ تومان", بلوار توس
https://divar.ir/v/ویلایی نوساز/wYLHB4Th,ویلایی نوساز,"۱,۱۷۰,۰۰۰,۰۰۰ تومان", اروند
https://divar.ir/v/جلال  /  دونبش  /   قبل معلم /   کار قوی/wY1icZ-D,جلال  /  دونبش  /   قبل معلم /   کار قوی,"۸,۵۵۰,۰۰۰,۰۰۰ تومان", آزادشهر
https://divar.ir/v/همکف مستغل راه جدا  داری ۱۰متر حیاط/wYKTfMaW,همکف مستغل راه جدا  داری ۱۰متر حیاط,"۸۲۵,۰۰۰,۰۰۰ تومان", صیاد شیرازی
https://divar.ir/v/سه نبش / دانشجو / قبل معلم / 4 خواب / 230متر/wYGz_rIn,سه نبش / دانشجو / قبل معلم / 4 خواب / 230متر,"۸,۳۵۰,۰۰۰,۰۰۰ تومان", آزادشهر
https://divar.ir/v/100متر آپارتمان صفر/بهشتی16/wYK3vGhl,100متر آپارتمان صفر/بهشتی16,"۲,۵۵۰,۰۰۰,۰۰۰ تومان", کوه سنگی
https://divar.ir/v/خانه ۸۵ متری ،رسالت ،کشمیری ۶/wYKPJnt8,خانه ۸۵ متری ،رسالت ،کشمیری ۶,"۳۸۰,۰۰۰,۰۰۰ تومان", رسالت
https://divar.ir/v/دانش آموز / قبل مهران / ط سوم / کار قوی/wYIbEl4h,دانش آموز / قبل مهران / ط سوم / کار قوی,"۴,۸۴۰,۰۰۰,۰۰۰ تومان", آزادشهر
https://divar.ir/v/500 متری سند دار قابل دور دیوار و نهال/wYKr_LpX,500 متری سند دار قابل دور دیوار و نهال,"۲۰۰,۰۰۰,۰۰۰ تومان", بهارستان
https://divar.ir/v/زمین دور دیوار ملکی دارای کاربری باغی/wYKzfUuc,زمین دور دیوار ملکی دارای کاربری باغی,"۲۵۰,۰۰۰,۰۰۰ تومان", سیس‌آباد
https://divar.ir/v/سه واحد آپارتمان  و فانتزی/wYL_AJ-z,سه واحد آپارتمان  و فانتزی,"۷,۶۰۰,۰۰۰,۰۰۰ تومان", ابوطالب
https://divar.ir/v/2000 متر زمین گلبهار سنددار/wYKvPw87,2000 متر زمین گلبهار سنددار,توافقی, بلوار سجاد
https://divar.ir/v/آپارتمان ۸۰ متر ۲ خوابه صدف/wY22Prf4,آپارتمان ۸۰ متر ۲ خوابه صدف,"۲,۵۰۰,۰۰۰,۰۰۰ تومان", وکیل‌آباد
https://divar.ir/v/منزل فروشی دردوطبقه به متراژ149/wYKvPg79,منزل فروشی دردوطبقه به متراژ149,"۱,۷۰۰,۰۰۰,۰۰۰ تومان",یه
https://divar.ir/v/ویلایی250متری تراکم زیاد جنوبی..درامامت/wYL7wSrp,ویلایی250متری تراکم زیاد جنوبی..درامامت,"۲۰,۰۰۰,۰۰۰,۰۰۰ تومان", آزادشهر
https://divar.ir/v/ویلایی۲۵۲متری/۲طبقه/شمالی/واقع در شهید صدر/wYr2_WWm,ویلایی۲۵۲متری/۲طبقه/شمالی/واقع در شهید صدر,"۷,۰۰۰,۰۰۰,۰۰۰ تومان", ۱۷ شهریور
https://divar.ir/v/خانه 100متر در دو طبقه/wYKrfx2X,خانه 100متر در دو طبقه,"۷۵۰,۰۰۰,۰۰۰ تومان", شهرک شهید رجایی
https://divar.ir/v/منزل ویلایی دوبلکس/wYL3w0B5,منزل ویلایی دوبلکس,"۴,۸۰۰,۰۰۰,۰۰۰ تومان", هفت تیر
https://divar.ir/v/زمین مسکونی دوکله امیریه/wYKjPtcI,زمین مسکونی دوکله امیریه,"۴,۵۰۰,۰۰۰,۰۰۰ تومان", امیریه
https://divar.ir/v/۱۶۵متر۳خواب/سیدرضی قبل معلم/فرصت خرید/wYlCUwCg,۱۶۵متر۳خواب/سیدرضی قبل معلم/فرصت خرید,"۵,۶۵۰,۰۰۰,۰۰۰ تومان", فرهنگ
https://divar.ir/v/۱۶۰متر ۳خواب/جلال معلم /فقط یک واحد مانده/wYlOU4zT,۱۶۰متر ۳خواب/جلال معلم /فقط یک واحد مانده,"۵,۵۹۹,۰۰۰,۰۰۰ تومان", آزادشهر
https://divar.ir/v/سرتاسرنور۱۹۵متر۳خواب صفر /دونبش سیدرضی قبل آموزگار/wYref8vz,سرتاسرنور۱۹۵متر۳خواب صفر /دونبش سیدرضی قبل آموزگار,"۵,۸۹۹,۰۰۰,۰۰۰ تومان", فرهنگ
https://divar.ir/v/زمین کلنگی در بازهور رباط سفید/wYL3QbNc,زمین کلنگی در بازهور رباط سفید,توافقی, کوی پلیس
https://divar.ir/v/سندملک اماده میباشد۱۷۴فول امکانات/wYKjfjNH,سندملک اماده میباشد۱۷۴فول امکانات,"۵,۲۲۰,۰۰۰,۰۰۰ تومان", فرهنگ
https://divar.ir/v/١٠٥مترآپارتمان شیک تخلیه اوایل اقبال/wYKbW_4b,١٠٥مترآپارتمان شیک تخلیه اوایل اقبال,"۲,۸۸۰,۰۰۰,۰۰۰ تومان", اقبال
https://divar.ir/v/آپارتمان ۱۷۵ متری فرامرز فاروجی نوساز فول امکانات/wYKf2YPZ,آپارتمان ۱۷۵ متری فرامرز فاروجی نوساز فول امکانات,"۶,۸۰۰,۰۰۰,۰۰۰ تومان", فرامرز عباسی
https://divar.ir/v/آپارتمان ۱۸۵ متری تک واحدی فروشنده واقعی/wYKfmhwC,آپارتمان ۱۸۵ متری تک واحدی فروشنده واقعی,"۷,۹۸۰,۰۰۰,۰۰۰ تومان", هفت تیر
https://divar.ir/v/زمین فروشی الهیه سند ملکی ۳۰۰متر(طرح تفضیلی جدید)/wYHPRAcb,زمین فروشی الهیه سند ملکی ۳۰۰متر(طرح تفضیلی جدید),"۴۵۰,۰۰۰,۰۰۰ تومان", الهیه
https://divar.ir/v/صادقیه ۹۰ متر ۳ نبش سند آماده/wYKbm-gv,صادقیه ۹۰ متر ۳ نبش سند آماده,"۲,۰۵۰,۰۰۰,۰۰۰ تومان", الهیه
https://divar.ir/v/اپارتمان۲۵۰متری/غرق نور/خیابان۲۰متری/wYKfmFcQ,اپارتمان۲۵۰متری/غرق نور/خیابان۲۰متری,"۳,۷۵۰,۰۰۰,۰۰۰ تومان", جانباز
https://divar.ir/v/آپارتمان طبقه چهارم با اسانسور/wYKfmAkN,آپارتمان طبقه چهارم با اسانسور,"۱,۱۵۰,۰۰۰,۰۰۰ تومان", طبرسی شمالی
https://divar.ir/v/سجاد ۲۰۰متر * ویو ملک آباد/wYKLmb8P,سجاد ۲۰۰متر * ویو ملک آباد,"۱۸,۰۰۰,۰۰۰,۰۰۰ تومان", بلوار سجاد
https://divar.ir/v/زمین واقع شاندیز/wYKfmLaC,زمین واقع شاندیز,توافقی, الهیه
https://divar.ir/v/۹۵متری امیریه ۳/wYyyayPP,۹۵متری امیریه ۳,"۲,۱۶۰,۰۰۰,۰۰۰ تومان", امیریه
https://divar.ir/v/آپارتمان75متری پارکینگدار/wYKbW0dl,آپارتمان75متری پارکینگدار,"۱,۰۵۰,۰۰۰,۰۰۰ تومان", ابوطالب
https://divar.ir/v/۱۶۰ متری   وکیل آباد   طراحی متفاوت/wYKb2OXA,۱۶۰ متری   وکیل آباد   طراحی متفاوت,"۵,۴۰۰,۰۰۰,۰۰۰ تومان", وکیل‌آباد
https://divar.ir/v/100 متر آپارتمان شیک قلب سامانیه/wYpurHkg,100 متر آپارتمان شیک قلب سامانیه,"۳,۴۰۰,۰۰۰,۰۰۰ تومان", محله هنرستان
https://divar.ir/v/آپارتمان ۱۳۰ متری/حاشیه الهیه دور میدان محمدیه/فول/wYJn1iBZ,آپارتمان ۱۳۰ متری/حاشیه الهیه دور میدان محمدیه/فول,"۳,۰۰۰,۰۰۰,۰۰۰ تومان", الهیه
https://divar.ir/v/ویلایی ۱۰۰متر در دو طبقه/wYKbWVsa,ویلایی ۱۰۰متر در دو طبقه,"۴,۷۰۰,۰۰۰,۰۰۰ تومان", فرهنگ
https://divar.ir/v/آپارتمان 90متری سنددار/wYKbGBkB,آپارتمان 90متری سنددار,"۱,۴۵۰,۰۰۰,۰۰۰ تومان", قاسم‌آباد (شهرک غرب)
https://divar.ir/v/آپارتمان۶۸متری قاسم ابادفقط/wYJbcppJ,آپارتمان۶۸متری قاسم ابادفقط,"۵۸۰,۰۰۰,۰۰۰ تومان", قاسم‌آباد (شهرک غرب)
https://divar.ir/v/۸۵متری امیریه ۱ برند قشلاق/wY9WgQU6,۸۵متری امیریه ۱ برند قشلاق,"۲,۲۰۰,۰۰۰,۰۰۰ تومان", امیریه
https://divar.ir/v/۱۹۰ متری اوایل مجیدیه/wYF7Apcj,۱۹۰ متری اوایل مجیدیه,"۳,۸۰۰,۰۰۰,۰۰۰ تومان", الهیه
https://divar.ir/v/۱۰۱متر صفی آباد کم هکتار/wY5eBQft,۱۰۱متر صفی آباد کم هکتار,توافقی, الهیه
https://divar.ir/v/باغ ویلا ملکی مبله با اب برق/wY4awkTY,باغ ویلا ملکی مبله با اب برق,"۹۴۰,۰۰۰,۰۰۰ تومان", بلوار توس
https://divar.ir/v/باغ ویلا شاهنامه ۳۶/wYG7sMG1,باغ ویلا شاهنامه ۳۶,"۴,۵۰۰,۰۰۰,۰۰۰ تومان", امیریه
https://divar.ir/v/باغ ویلای 1500 متری/wYIPDRKE,باغ ویلای 1500 متری,"۱,۱۰۰,۰۰۰,۰۰۰ تومان", دانشجو
https://divar.ir/v/فروش ویلایی سه واحده نهضت/wYKXm3xa,فروش ویلایی سه واحده نهضت,"۲,۹۸۰,۰۰۰,۰۰۰ تومان", قاسم‌آباد (شهرک غرب)
